Answer	Question
of course not! he's family.	maybe we should get rid of him.
i stood on the great wall and looked all around.	what did you do?
paper is flying everywhere.	it sure is windy today.
That's everything.	Anything else?
  An emotion associated with laughter.	What is humour?
Good morning	Good morning
they are so weak.	smokers think they are so cool.
My name is bot	What's your name?
Which one is Sarah? 	I forgot to tell you,I'm going out with Sarah.
i'll rinse the car first.	okay, i'll get a bucket.
what do you want me to do?	because you helped make it dirty.
I'm going to meet a friend of mine at the department store.	So where are you going now?
My name is robot	What is your name?
Sorry about the inconvenience.	I guess I can take pictures of the pages then.
Either that or someone took it out of the shelf and misplaced it.	So someone else has the book and plans on checking it out?
 who says i am resisting??	 you are resistant
thank you. i'll buy a new one tomorrow.	you can borrow mine.
it's to my mom.	who were you writing to?
me too.	i love cheese.
i sure am.	you're yawning.
i think he closed the bowling alley in the white house.	like what?
i don't understand why you haven't come to visit me.	i've been missing you like crazy.
did you ever see anything that picasso painted?	artists see things differently.
 you are cheating	 you are cheating
i don't know, but was there a certain movie you wanted to see?	do you know what movie you're going to watch?
i was a painter.	what was your last job?
it's so nice to have a heated apartment.	it should be warmer in a few minutes.
are you sure?	no, you didn't. i checked the stove before we left.
everybody buys stock.	i bought some stock.
that would teach him a good lesson.	someone should set him on fire.
i said i have to go to the bathroom.	what did you say?
that's a lot.	once every two months.
oh, really? i think most jokes are about men!	i think most jokes are about women.
they want tax cuts.	what kind of change?
i know, it does sound pretty awesome.	i want to. i heard it's going to be really fun.
how many best friends do you have?	of course. i have lots of best friends.
 Malli said Raghava fell off of his roof and it just came to him.	 gossips
I want to be a pediatrician.	What kind of doctor do you want to be?
Why are you taking that class?	Kind of.It is better than not doing it at all.
see those stains?	yes?
why is it so slow?	i would if i had the money.
i'm not sure, but i don't think she's given out that many.	oh, well, how many people has she given invites to so far?
 i think that myself sometimes.	 you are dull
i go to pcc.	what school do you go to?
he said he was thinking about it, but he didn't get around to it.	so what? did he dial 911?
these are called all star chuck taylors.	really? what kind of shoes are they?
 It depends on which machine you're using to talk to me!	 Which is better Windows or macOS?
so go then.	i really want to go to the movies this weekend.
Where did you hear that from?	Heard itis supposed to rain.
Really? Thatis great!	Stop playing games.I got the part in the school play!
you're kidding. you might get killed.	i'm joining the army.
he hates corporations.	why's that?
did you save any money on the sale?	that's a good idea, but there was a good sale at this store.
Any dress	What should we wear?
I haven't ever tried that, but it sounds like a good idea.	Have you ever tried doing relaxation exercises before you go to bed?
why feel sorry for rich people?	i feel so sorry for those people.
were you jaywalking?	no, i was crossing the street.
i'll get the bait.	i'll get our fishing rods.
Yes, we're open on Saturdays.	Are you guys open on Saturdays?
are there more fish or more people?	there are fish at the top and the bottom.
maybe. what is she like?	are you interested?
it has about 140,000 people.	how big is "pretty big"?
i don't even know why we need to fix it.	it shouldn't take him long to fix it.
what was the score at the end of the game?	it was a great game.
That is kind of expensive.	Then it will be 20 cents per page.
they're all the same.	maybe she's different.
i'll try.	yes, and it takes about five minutes each time.
how much did you buy?	it was on sale.
yes. the ones that will improve our schools, roads, and hospitals.	do you mean on measures 1, 2, and 3?
is that right? this is a brand new outfit.	i think that you look very cute today.
she has pretty light brown eyes.	what does she look like, though?
I only want to transfer $100.	How much?
what will you do when the battery dies?	i buried him with his cell phone.
i don't think so.	you eat too much chocolate.
well, superbad is super funny.	you think so, how come?
Yes, that sounds nice.	Do you want a sandwich?
It's about a young girl who has many adventures.	What's it about?
that's a good idea.	a button is hard to find. did you look in your pant cuffs?
so do i.	i always try to be polite.
I won't.I swear on my life.	What if you lose the books?
 only to other robots.	 is hal nice
i am happy, but marriage is a lot of responsibility.	you should be happy, not worried.
exactly what?	something's wrong with my computer.
the sandwich was good, too.	i put lemon and butter in it.
It's not too bitter for you?	I figured that.
berries aren't in season all year round.	well, i've seen them eating berries.
